RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,block,design_offset,q8,bid_random,bid,q9,q10,q11,q11_other,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
63,7,7,Anonymised,Anonymised,Anonymised,1655485669.32418,686.341,Prolific,Anonymised,1,1,1,Anonymised,1,-2,1,3,1,1,2,4,4,6,£40.00,2,,1,Anonymised,9,2,7,2,7,8,9,3,3,1,1,1,Anonymised,5,4,6,Anonymised
79,7,7,Anonymised,Anonymised,Anonymised,1655485768.49463,594.72,Prolific,Anonymised,1,1,2,Anonymised,1,2,3,2,3,5,2,4,3,2,£5.00,1,,,Anonymised,10,9,8,6,9,10,4,4,3,1,2,1,Anonymised,4,7,9,Anonymised
100,7,7,Anonymised,Anonymised,Anonymised,1655485914.64062,467.13,Prolific,Anonymised,1,2,3,Anonymised,1,2,3,3,3,5,1,0,3,10,£80.00,1,,,Anonymised,10,6,9,6,10,10,10,3,3,1,1,1,Anonymised,5,6,10,Anonymised
58,7,7,Anonymised,Anonymised,Anonymised,1655485619.80992,767.554,Prolific,Anonymised,1,2,4,Anonymised,1,1,2,2,2,1,2,4,4,3,£10.00,1,,,Anonymised,8,8,8,8,9,10,11,3,3,1,1,1,Anonymised,4,4,10,Anonymised
118,7,7,Anonymised,Anonymised,Anonymised,1655486092.73959,304.587,Prolific,Anonymised,1,2,2,Anonymised,1,-3,2,2,-1,1,2,4,9,7,£50.00,2,,2,Anonymised,4,8,5,4,4,6,5,4,4,1,2,1,Anonymised,5,4,7,Anonymised
114,7,7,Anonymised,Anonymised,Anonymised,1655486077.73959,320.121,Prolific,Anonymised,1,1,1,Anonymised,2,4,4,4,1,1,1,0,5,4,£20.00,1,,,Anonymised,11,9,10,10,8,9,10,3,3,2,1,1,Anonymised,5,8,10,Anonymised
129,7,7,Anonymised,Anonymised,Anonymised,1655486191.44488,208.67,Prolific,Anonymised,1,2,1,Anonymised,4,3,0,4,3,5,1,0,3,8,£60.00,1,,,Anonymised,9,6,9,6,6,6,9,3,3,1,2,1,Anonymised,4,8,10,Anonymised
93,7,7,Anonymised,Anonymised,Anonymised,1655485873.78296,527.168,Prolific,Anonymised,1,2,3,Anonymised,1,4,5,1,5,4,2,4,4,8,£60.00,2,,4,Anonymised,11,6,8,8,11,11,11,4,4,2,1,2,Anonymised,6,3,5,Anonymised
113,7,7,Anonymised,Anonymised,Anonymised,1655486076.81098,341.005,Prolific,Anonymised,1,1,1,Anonymised,1,4,4,2,1,5,1,0,12,6,£40.00,,2,1,Anonymised,10,9,10,8,9,10,10,4,3,1,2,1,Anonymised,2,10,10,Anonymised
109,7,7,Anonymised,Anonymised,Anonymised,1655486013.50695,404.688,Prolific,Anonymised,1,2,3,Anonymised,4,3,4,2,5,5,1,0,4,9,£70.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,2,1,Anonymised,5,7,8,Anonymised
95,7,7,Anonymised,Anonymised,Anonymised,1655485877.04407,546.151,Prolific,Anonymised,1,2,3,Anonymised,1,0,0,2,0,0,1,0,6,10,£80.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,1,1,1,Anonymised,3,6,5,Anonymised
120,7,7,Anonymised,Anonymised,Anonymised,1655486138.35973,285.908,Prolific,Anonymised,1,2,2,Anonymised,1,4,3,1,3,3,1,0,3,5,£30.00,1,,,Anonymised,11,8,9,10,9,9,10,5,4,1,2,1,Anonymised,5,9,10,Anonymised
102,7,7,Anonymised,Anonymised,Anonymised,1655485956.40804,477.38,Prolific,Anonymised,1,1,4,Anonymised,3,4,5,2,5,5,1,0,9,10,£80.00,1,,,Anonymised,11,11,11,11,11,9,6,5,3,1,1,1,Anonymised,5,8,10,Anonymised
65,7,7,Anonymised,Anonymised,Anonymised,1655485682.85933,754.592,Prolific,Anonymised,1,2,2,Anonymised,1,-1,1,3,0,0,1,0,5,5,£30.00,1,,,Anonymised,8,6,6,5,7,8,9,4,3,1,2,1,Anonymised,2,4,10,Anonymised
77,7,7,Anonymised,Anonymised,Anonymised,1655485759.95672,677.886,Prolific,Anonymised,1,1,1,Anonymised,4,5,5,1,2,0,2,4,12,5,£30.00,,1,,Anonymised,11,10,11,10,10,11,11,3,3,2,2,2,Anonymised,4,10,7,Anonymised
64,7,7,Anonymised,Anonymised,Anonymised,1655485679.17017,767.115,Prolific,Anonymised,1,1,4,Anonymised,1,3,4,2,3,0,2,4,6,1,£1.00,1,,,Anonymised,11,10,10,9,9,10,10,3,3,1,1,2,Anonymised,5,9,10,Anonymised
163,7,7,Anonymised,Anonymised,Anonymised,1655486321.52309,126.73,Prolific,Anonymised,1,1,1,Anonymised,3,3,3,2,3,2,1,0,3,5,£30.00,1,,,Anonymised,7,7,9,7,9,7,9,4,4,1,1,1,Anonymised,5,7,10,Anonymised
122,7,7,Anonymised,Anonymised,Anonymised,1655486166.45254,289.923,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,1,3,5,2,4,4,5,£30.00,1,,,Anonymised,11,8,11,8,11,11,11,3,3,1,1,2,Anonymised,5,5,6,Anonymised
92,7,7,Anonymised,Anonymised,Anonymised,1655485870.98765,598.721,Prolific,Anonymised,1,1,3,Anonymised,1,1,0,3,-1,5,2,4,6,5,£30.00,1,,,Anonymised,11,8,10,6,9,10,10,3,3,1,1,1,Anonymised,5,7,10,Anonymised
159,7,7,Anonymised,Anonymised,Anonymised,1655486315.02263,165.657,Prolific,Anonymised,1,1,1,Anonymised,3,5,5,2,5,5,2,4,2,7,£50.00,1,,,Anonymised,11,11,11,11,11,11,11,5,5,1,2,1,Anonymised,5,7,8,Anonymised
111,7,7,Anonymised,Anonymised,Anonymised,1655486045.50502,441.568,Prolific,Anonymised,1,2,4,Anonymised,1,4,2,2,2,2,2,4,5,2,£5.00,1,,,Anonymised,10,10,11,10,10,11,10,3,3,1,2,1,Anonymised,5,3,10,Anonymised
131,7,7,Anonymised,Anonymised,Anonymised,1655486203.98051,308.979,Prolific,Anonymised,1,2,3,Anonymised,1,4,4,2,5,5,1,0,7,4,£20.00,2,,1,Anonymised,11,10,11,11,11,11,11,5,5,1,2,1,Anonymised,4,3,10,Anonymised
